dataset,init,kmeans,award
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s5486].pts,1150.6967186927795,604.7092719078064,0.06701755523681635
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s6472].pts,1177.6445004940033,566.9503960609436,0.035147905349731445
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s6635].pts,1180.1636772155762,842.8701574802399,0.06853866577148436
rc_ch200_s1981_[kovaleva_1000x15_c12_m60_a0.5_s8285].pts,1434.935490846634,588.5982608795166,0.10453414916992189
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s2095].pts,1412.2591989040375,884.4506964683533,0.038877010345458984
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s2895].pts,1510.6337742805483,1234.7303593158722,0.03921031951904297
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s3725].pts,1566.2331235408783,928.7125356197357,0.04154324531555176
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s4252].pts,1451.4797682762146,1277.6542332172394,0.03486990928649902
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s4400].pts,1742.689908027649,1051.418790102005,0.038797855377197266
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s5388].pts,1352.8286278247833,1380.381758928299,0.03879690170288086
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s5486].pts,1819.2874789237976,1324.7395095825195,0.039527177810668945
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s6472].pts,1720.036301612854,1027.3272020816803,0.043703317642211914
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s6635].pts,1371.5134398937225,1071.9816184043884,0.040810346603393555
rc_ch200_s1981_[kovaleva_1000x15_c19_m35_a0.5_s8285].pts,1450.7750191688538,1283.5326049327853,0.03908061981201172
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s2095].pts,998.0271885395049,552.9893915653229,2.684914350509643
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s2895].pts,658.337292432785,338.8625645637512,0.559478759765625
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s3725].pts,731.7172276973724,468.65759229660034,1.6953918933868413
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s4252].pts,935.035970211029,492.70407485961914,1.0765006542205813
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s4400].pts,720.2851252555846,733.5391857624062,2.9666738510131836
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s5388].pts,877.0493896007538,511.1807870864868,3.5670895576477046
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s5486].pts,739.6178562641144,462.25063824653625,1.460848331451416
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s6472].pts,862.6031563282013,445.2427456378937,1.6300470829010012
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s6635].pts,807.2463302612305,299.2338263988495,0.7253720760345459
rc_ch200_s1981_[kovaleva_1000x15_c7_m100_a0.5_s8285].pts,732.4265868663788,322.9204261302948,0.11307001113891592
rc_ch200_s2945_[kovaleva_1000x15_c12_m60_a0.5_s2095].pts,1128.5254650115967,458.87161159515387,0.034209489822387695
rc_ch200_s2945_[kovaleva_1000x15_c12_m60_a0.5_s2895].pts,1394.275029182434,973.655992269516,0.37086582183837874
rc_ch200_s2945_[kovaleva_1000x15_c12_m60_a0.5_s3725].pts,1161.4170527458189,759.9060645103455,0.04928517341613771
